iso2,year,avg_generality,avg_originality,avg_radicalness,avg_quality_index_4,avg_quality_index_6,breakthrough_count,patent_count,pct_breakthrough,iso3c
ES,1986,0.45709931657848300,0.5621388628811930,0.2156960880700380,0.24973634256293100,0.3029694179739750,0,63,0.0,ESP
ES,1987,0.31207676795644700,0.6068879043226810,0.25757454768913600,0.23167739342363800,0.30434112403137300,0,99,0.0,ESP
ES,1988,0.304857026212969,0.5739489235343960,0.23859842021907400,0.22514720733151900,0.2965344154502080,0,112,0.0,ESP
ES,1989,0.36272002869881600,0.5896842785400270,0.2190079127427500,0.24021014508825500,0.30205399632850300,0,133,0.0,ESP
ES,1990,0.29867039565545000,0.5549393497192890,0.2556596250075550,0.2136210242770980,0.2872468431991890,0,180,0.0,ESP
ES,1991,0.38435080637392100,0.5794651974303110,0.2539629478845610,0.2277233012303670,0.3132948899012220,0,182,0.0,ESP
ES,1992,0.3379052525377470,0.5852078448319490,0.2070222566022370,0.22374356791332200,0.31284711631816400,1,210,0.004761904761904760,ESP
ES,1993,0.37029078447278200,0.58384552193882,0.22874469189955300,0.20914980945653700,0.30462721746831500,0,218,0.0,ESP
ES,1994,0.27377713175216700,0.58630362944493,0.246938173781114,0.19692839596988900,0.29252336111065800,0,271,0.0,ESP
ES,1995,0.31418636776378000,0.6084474027683810,0.2371398906733860,0.21343917236709500,0.296789453652294,0,241,0.0,ESP
ES,1996,0.2890850615855880,0.6031610469327980,0.2529932167077770,0.19995466011668500,0.2850970800232930,1,247,0.004048582995951420,ESP
ES,1997,0.2886497814902180,0.6141746352160160,0.2782558029735360,0.19115117843309500,0.2831257678502680,0,332,0.0,ESP
ES,1998,0.30517887973865400,0.6130640844050120,0.27756855385706900,0.18716385519907400,0.28894882144660400,0,409,0.0,ESP
ES,1999,0.34126275924009300,0.6069037881807350,0.25616080998508800,0.22140843759676600,0.311867182584999,0,446,0.0,ESP
ES,2000,0.33765505300716200,0.6433142077809330,0.2941060751953640,0.2034432104152420,0.3040646773945540,0,529,0.0,ESP
ES,2001,0.3456624280602190,0.642963981995176,0.25932971756260200,0.21094168207244700,0.3045214556480620,0,605,0.0,ESP
ES,2002,0.3901331519390490,0.6644058315451260,0.2767097352926010,0.23003353167016600,0.31451563171898400,0,666,0.0,ESP
ES,2003,0.284936186389246,0.6377426797315060,0.25871127412331900,0.21449942002632700,0.3130946732913430,1,677,0.0014771048744460900,ESP
ES,2004,0.32771237096925100,0.6536880407185720,0.2816777916329280,0.2239797248758670,0.3112814607946900,0,729,0.0,ESP
ES,2005,0.3403900116175440,0.6792324089449640,0.2821174614341190,0.2229870884420910,0.3068947941605560,0,1011,0.0,ESP
ES,2006,0.3460337573992620,0.6923027546389590,0.3102024234980080,0.2199166162805370,0.2978508838392460,3,1123,0.0026714158504007100,ESP
ES,2007,0.320474175958191,0.6755531447711420,0.3225239188861250,0.22821017401033300,0.3095855047562920,0,1144,0.0,ESP
ES,2008,0.335099949117773,0.6970801272884110,0.33350360108478900,0.24846982283030400,0.31415567705796100,3,1162,0.0025817555938037900,ESP
ES,2009,0.36855694508698600,0.7163106537338180,0.34362431967637000,0.2490938059591280,0.31120016125927200,1,1284,0.000778816199376947,ESP
ES,2010,0.3672846590056630,0.7197713294003180,0.3540935158272560,0.2674507951169520,0.31540614816450600,0,1427,0.0,ESP
ES,2011,0.3686762543413660,0.730524123509945,0.3580738473515330,0.27296997083125900,0.3171595365816310,1,1298,0.0007704160246533130,ESP
ES,2012,0.3601755019006690,0.7230722402545400,0.365317761672212,0.2721655095025980,0.3178938491242640,1,1357,0.0007369196757553430,ESP
ES,2013,0.3199956350690270,0.7297885312686290,0.36079418177661800,0.2641533850082230,0.31526167646208200,1,1428,0.0007002801120448180,ESP
ES,2014,0.320844354048144,0.7089657903035610,0.34682744231077900,0.2658421824220700,0.3085352915706780,0,1417,0.0,ESP
ES,2015,0.3773886153099360,0.7017778791964620,0.3559155210677380,0.27609510701760600,0.3154325156317960,0,1435,0.0,ESP
