iso2,year,avg_quality_index_4,avg_quality_index_6,breakthrough_count,patent_count,pct_breakthrough,iso3c,ipp_index_IP_transformed,Code,bank_credit_gdp,market_cap_gdp,country,VC_investment,patent_applications_residents,Country Name,rd_expenditure_percent_gdp,trade_percent_gdp,gdp_pc_const2015usd,tertiary_enrollment_percent,population_total,patents_per_capita,quality_index_100,VC_investment_pct,ln_patents_pc,ln_gdp_pc,ln_bank,ln_market,ln_vc,ln_trade,ln_rd,ln_tertiary,ipr_c,ln_bank_c,ln_market_c,ln_vc_c,ln_bank_x_ipr,ln_market_x_ipr,ln_vc_x_ipr
PT,2022,0.201645645374298,0.200793134734576,0,225,0,PRT,,,89.456311914271,,Portugal,0.0262145735945598,,Portugal,1.70179,101.364147310434,22042.8682074432,75.0714797973633,10434332,,20.1645645374298,2.62145735945598,,10.0007897563717,4.50486699287002,,1.28687653030696,4.62853652737617,0.993914516310381,4.33167342192061,,0.283629623457934,,-0.229135094509538,,,
PT,2023,,,0,71,0,PRT,,,80.9545687327553,,Portugal,0.0145029371576321,,Portugal,,93.8637906963574,22311.3052246654,77.6778182983398,10578174,,,1.45029371576321,,10.0128936090571,4.40616505388302,,0.896207901356109,4.55244208060777,,4.36536126434052,,0.184927684470928,,-0.619803723460393,,,
PT,2024,,,0,2,0,PRT,,,78.3607161404974,,Portugal,0.0241781732439168,,Portugal,,91.1410312778576,22479.2027111103,,10701636,,,2.41781732439168,,10.0203903213651,4.3740034868837,,1.22900213809011,4.52332035195499,,,,0.152766117471612,,-0.287009486726397,,,
RO,1981,0.207488909672056,0.325315940982326,0,9,0,ROU,,,,,,,2481,Romania,,,,,22353070,110.991465601817,20.7488909672056,,4.71842266840795,,,,,,,,,,,,,,
RO,1982,0.115232683982684,0.230980455840702,0,6,0,ROU,,,,,,,2724,Romania,,,,,22475741,121.197338944242,11.5232683982684,,4.80563727026669,,,,,,,,,,,,,,
RO,1983,,,0,2,0,ROU,,,,,,,3108,Romania,,,,,22560478,137.763038531364,,,4.93276771960873,,,,,,,,,,,,,,
RO,1984,,,0,1,0,ROU,,,,,,,3446,Romania,,,,,22640547,152.204803179004,,,5.03177560915839,,,,,,,,,,,,,,
RO,1985,0.0978978978978979,0.324728586454475,0,2,0,ROU,,,,,,,4201,Romania,,,,,22732999,184.797439176415,9.78978978978979,,5.22465704359592,,,,,,,,,,,,,,
RO,1986,,,0,1,0,ROU,,,,,,,4394,Romania,,,,,22836841,192.40839834196,,,5.26480400680212,,,,,,,,,,,,,,
RO,1990,0.145574855252275,0.329525620471304,0,2,0,ROU,1.20833333,,,,,,2752,Romania,,42.9070987294556,5019.43702748333,,23201835,118.611308114207,14.5574855252275,,4.78424738649691,8.52127226616411,,,,3.78207600927423,,,-2.23423886972695,,,,,,
RO,1991,,,0,2,0,ROU,1.20833333,,,,,,2015,Romania,,39.1351694722991,4409.1517208357,,23001155,87.604296392942,,,4.484180348455,8.39166437166671,,,,3.69225299413097,,,-2.23423886972695,,,,,,
RO,1995,0.0919836664517516,0.229218034500605,0,2,0,ROU,3.09999999,,,,,,1811,Romania,,56.291225396158,4572.25803354276,,22684270,79.835057509014,9.19836664517516,,4.39241075149037,8.42798114750743,,,,4.04814747754691,,,-0.342572209726945,,,,,,
RO,1996,0.209253555592353,0.213563390691226,0,4,0,ROU,3.09999999,,10.9909814975807,,,,1831,Romania,0.67472,60.7813693722174,4764.63682106299,,22619004,80.9496297891808,20.9253555592353,,4.40610478765896,8.46918645271215,2.48415482537056,,,4.12360185254452,0.515645987124437,,-0.342572209726945,-1.73708254404153,,,0.59507620559041,,
RO,1998,0.195734434124527,0.27922116018625,0,7,0,ROU,3.09999999,,11.6679231619366,0.855212042953223,,,1299,Romania,0.49541,53.838795710082,4463.60791806212,,22507344,57.7144953220602,19.5734434124527,,4.07268663539665,8.40393667715076,2.53907306313357,0.6179989983963,,4.00439789438884,0.402400416735319,,-0.342572209726945,-1.68216430627852,-3.14030367831072,,0.576262743525625,1.07578077029256,
RO,1999,,,0,1,0,ROU,3.09999999,,7.98718944099379,0.872496404553898,,,1061,Romania,0.39832,57.9736750449875,4453.78126046181,,22472040,47.2142271017674,,,3.87565414558949,8.40173323891537,2.19580016790147,0.627272516275964,,4.07709115865709,0.335271516044694,,-0.342572209726945,-2.02543720151062,-3.13103016043105,,0.693858497784654,1.07260392078058,
RO,2002,,,0,2,0,ROU,3.425,,10.0898585093074,5.4031755955645,,,1478,Romania,0.37721,53.7102478139376,5248.54994632668,33.7016906738281,21730496,68.0150144755095,,,4.23432408201992,8.56589762740191,2.40603104287759,1.85679405411261,,4.00205103765673,0.320059713565368,3.54678840835461,-0.0175721997269456,-1.8152063265345,-1.90150862259441,,0.0318971681154795,0.0334136892987381,
RO,2003,0.119646462253761,0.241865270139286,0,2,0,ROU,3.425,,14.1322681192345,5.88689303169694,,,881,Romania,0.39708,56.1795270470243,5410.30835796252,38.9063987731934,21574326,40.8355746548003,11.9646462253761,,3.7337470458741,8.5962461832603,2.71682942530496,1.92962004452629,,4.04619591555923,0.334384344204291,3.68653668129336,-0.0175721997269456,-1.50440794410713,-1.82868263218073,,0.0264357568646541,0.0321339764498763,
RO,2004,0.251638751033912,0.344907433331835,0,5,0,ROU,3.425,,15.7819282736445,14.6238031601838,,,937,Romania,0.38942,60.6264786669408,6008.64048461485,41.7997398376465,21451748,43.6794241662731,25.1638751033912,,3.79951308616524,8.70112020620836,2.82030260943353,2.74879559494047,,4.12109162667038,0.32888639387579,3.75653202400962,-0.0175721997269456,-1.40093475997856,-1.00950708176655,,0.0246175054067638,0.0177392600665677,
RO,2005,0.245352954835713,0.297266097221499,0,6,0,ROU,3.75,,20.0582548606141,16.1067897443055,,,916,Romania,0.41262,59.3605494490555,6328.09022324183,45.4637298583984,21319685,42.9649875220952,24.5352954835713,,3.78339357901642,8.7529117802025,3.04729263815429,2.83947544577123,,4.10033573672527,0.345446136182136,3.83867200518746,0.307427800273055,-1.1739447312578,-0.918827230935793,,-0.360903246372729,-0.282473034437573,
RO,2006,0.209493926808456,0.311184521411652,0,8,0,ROU,3.75,,26.005425621115,20.6803781204571,,,814,Romania,0.45682,61.6836259265159,6876.77841417966,54.1389312744141,21193760,38.4075312733559,20.9493926808456,,3.67395694710718,8.83605097386663,3.29603779474698,3.07640761739985,,4.13810026403605,0.376255978057506,4.00985602336962,0.307427800273055,-0.925199574665108,-0.681895059307172,,-0.28443207005286,-0.209633498099868,
